"x2","n","welfare","sPr","P","dChisq","dDev","dBhat"
352,1,0,-0.15018,0.02197,0.02256,0.04461,0.00009
353,1,0,-0.15018,0.02197,0.02256,0.04461,0.00009
354,1,0,-0.15018,0.02197,0.02256,0.04461,0.00009
355,1,0,-0.15018,0.02197,0.02256,0.04461,0.00009
356,1,0,-0.15018,0.02197,0.02256,0.04461,0.00009
357,1,0,-0.15018,0.02197,0.02256,0.04461,0.00009
358,1,0,-0.15018,0.02197,0.02256,0.04461,0.00009
359,1,0,-0.15018,0.02197,0.02256,0.04461,0.00009
360,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
361,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
362,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
363,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
364,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
365,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
366,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
367,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
368,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
369,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
370,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
371,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
372,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
373,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
374,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
375,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
376,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
377,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
378,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
379,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
380,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
381,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
382,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
383,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
384,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
385,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
386,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
387,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
388,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
389,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
390,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
391,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
392,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
393,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
394,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
395,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
396,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
397,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
398,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
399,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
400,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
401,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
402,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
403,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
404,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
405,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
406,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
407,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
408,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
409,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
410,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
411,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
412,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
413,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
414,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
415,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
416,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
417,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
418,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
419,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
420,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
421,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
422,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
423,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
424,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
425,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
426,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
427,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
428,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
429,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
430,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
431,1,0,-0.22529,0.0482,0.05075,0.09902,0.00012
